,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total,queue_seconds
0,0.3,598716,4457,0.3,1,90.0,3.0,616b69c5-5d4a-4682-9ad7-dea4492aa4de,405444.0,634.0,1237.6197401453323,1493397503.0,5678.424073333334,15589.551850000002,793284.1935399999,72298649.38086666,43.0
1,0.3,598848,4457,0.3,1,90.0,5.0,6ba31199-36a3-4333-9a4d-f0e7ca383714,405444.0,619.0,1242.0440806583824,1492439039.0,3187.3929824561405,2499.9771929824565,407872.2175438596,970120.7771929824,64.0
2,0.3,608172,4484,0.3,1,90.0,5.0,c67cc6e8-2fe6-4641-bafb-0c780e399688,409512.0,622.0,1246.5708484606405,1505935360.0,4321.66375,7517.655146666667,683606.9449966666,66873016.31188668,46.0
3,0.3,616096,4484,0.3,1,90.0,3.0,fe1fd190-b37e-4414-a624-91076782ad33,409512.0,693.0,1327.6251352061572,1505935360.0,4533.982433030303,7750.758511969698,713148.5009957576,67642577.96087667,44.0
4,0.3,2621740,23071,0.3,1,90.0,3.0,45fac0aa-84ea-4532-aecc-4d6b8c17ded5,1981888.0,16236.0,32449.10653137102,5703888895.0,24901.66750462108,41023.64998151572,3327688.837634011,276959676.63391984,3774.0
5,0.3,2621776,23071,0.3,1,90.0,5.0,061e979e-2494-45a0-9ebc-f78279522d3b,1981888.0,23641.0,39879.545570676666,5704241151.0,28546.34530620476,44589.39026099251,20720474.026027013,278197563.6439959,3773.0
6,0.3,536504,4285,0.3,1,90.0,5.0,a447c0b2-e8f0-4102-b7c8-b72433f73b53,359488.0,539.0,1059.4386368219102,1367961600.0,5315.019607843137,17781.77254901961,647273.531372549,85569057.08431372,66.0
7,0.3,536500,4285,0.3,1,90.0,3.0,d169c8d1-a4db-4322-aa84-3f401a0a3d7b,359488.0,542.0,1064.4626057332698,1367961600.0,5344.607843137255,17880.749019607843,650876.1725490196,86045322.71372549,65.0
8,0.3,9268620,23361,0.1,1,90.0,3.0,4a1f3760-dbc4-464a-82f7-adfce023eafc,2543220.0,38442.0,76892.03667600216,19435745280.0,39244.810000000005,283511.2264732761,3917212.36993668,1511332401.8548114,22310.0
9,0.3,9270260,23361,0.1,1,90.0,5.0,eb9ef096-33ad-4945-abd3-ba746080ce20,2543220.0,56806.0,96058.29427556638,29141250047.0,61153.20632564068,341400.42601093266,411843703.8074261,2033250297.9555943,21503.0
10,0.3,9259816,23361,0.3,1,90.0,5.0,2853e90e-477f-4113-a59d-a5a653bb81c6,2543220.0,34532.0,69050.04640816711,19445551104.0,35999.360695652176,68443.42585507246,3502276.4789565224,700635793.870261,21143.0
11,0.3,9259556,23361,0.3,1,90.0,3.0,8cdd4751-3de9-435b-84f3-41a6b8b3a365,2543220.0,35446.0,70015.70620639455,19446075392.0,51019.64089885437,88839.82854727225,430166486.2565701,702473381.4308544,21141.0
12,0.5,9265388,23361,0.1,1,90.0,5.0,4c9cb6f6-c443-499b-8bd8-ab39a23391ad,2543220.0,36260.0,72475.60514419453,19441664000.0,89348.35677820089,356803.743263245,7601980.777275524,1973501549.1008992,12.0
13,0.5,9263464,23361,0.1,1,90.0,3.0,ac7cd377-f679-473a-9279-f03ac7725263,2543220.0,38548.0,74801.88260422755,19442470912.0,98269.90620770198,370678.7819384789,449309544.24697846,1974798924.539062,11.0
14,0.5,9269256,23361,0.3,1,90.0,5.0,28f54c0d-4540-43e2-9800-c6b5d90780df,2543220.0,29432.0,58822.52534117968,19450912768.0,66352.0863905102,222528.5279047619,5766439.870958775,1209537005.2775984,38.0
15,0.5,9269204,23361,0.3,1,90.0,3.0,5522233a-f865-445c-8388-fa0fa8bccfe0,2543220.0,29998.0,59425.62866254961,19450912768.0,71983.07100888043,231441.6673079644,284571237.711139,1210037018.0849648,37.0
