,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,queue_seconds,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
0,0.3,535932,4285,0.3,1,90.0,3.0,54679f69-4230-46e0-b465-57e5376446ee,359488.0,582.0,166.0,2126.204840725443,2683133952.0,6757.9811,17588.2748627451,869143.1568039216,120332163.12231764
1,0.3,536088,4285,0.3,1,90.0,5.0,d8b5588c-71bb-4710-8533-0e33476c68d8,359488.0,630.0,165.0,2313.126838641533,2683133952.0,6986.243923976608,18034.457885964912,896552.3964707603,120762750.8263041
2,0.3,537844,4285,0.3,1,90.0,3.0,bce00adc-b4ac-4fd6-934e-d0d871a7e9ae,359488.0,544.0,304.0,2088.0452904420404,2687930367.0,7989.71711372549,24538.837403921563,963915.3156764704,121323701.87505683
3,0.3,537860,4285,0.3,1,90.0,5.0,ca8eab14-f11a-48bc-85e9-7294fc18a653,359488.0,579.0,304.0,2202.1262414393423,2687971327.0,8189.491887581698,24984.638827450977,988776.5739931372,123362096.97731373
4,0.3,537288,4285,0.3,1,90.0,5.0,01826633-3662-4026-a0a1-17cf6941c293,359488.0,579.0,55.0,2264.17016003123,2688647167.0,8077.099283743887,24615.76464260761,1080984.2012054734,121950770.57339054
5,0.3,537328,4285,0.3,1,90.0,3.0,9290693f-cdc6-466f-8839-4b49b379cae7,359488.0,651.0,57.0,2467.366691778921,2689073151.0,8216.11682289056,24672.555264243943,1102453.2334126984,121571505.9333346
6,0.3,9253784,23361,0.1,1,90.0,5.0,8c82fe64-c15c-417b-9159-d7565bfe1fff,2543220.0,43149.0,34.0,86173.76199463508,19376754687.0,60434.489733751165,119339.52831662024,5366677.070681244,1201600624.8468504
7,0.3,9251912,23361,0.1,1,90.0,3.0,21ebfbae-91ec-4684-9aab-8ba54563879f,2543220.0,44466.0,32.0,87573.34862619141,19377008639.0,76147.85537294296,141498.81216173424,450584500.51116514,1203350973.924427
8,0.3,9276028,23361,0.3,1,90.0,5.0,b0d5ea72-b8ce-4142-8453-932067fcaf73,2543220.0,37388.0,45.0,149321.27401534485,38836854783.0,33781.505390246515,77485.82063006432,3746988.051217203,1202779822.498953
9,0.3,9275784,23361,0.3,1,90.0,3.0,99dbccde-81be-46d6-aeed-0ab747a347d5,2543220.0,37840.0,45.0,150402.28153193733,38836854783.0,42912.35700781372,83829.52811588976,294686179.74677694,1203335093.4679208
