,Unnamed: 0,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_request,mem_request,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
0,0,0.9,4372992,8998,0.1,1,105.0,2.235,65aabe49-2144-44e4-a589-fe6fa6806cb4,828144.0,9038.0,-1.0,-1.0,18113.713631226234,13976756223.0,158078.87637924124,196246.40452036777,90719090.76890604,643765699.7565677
1,1,0.9,4373104,8998,0.1,1,75.0,2.235,05a0e8c2-ba7d-4290-92c8-6a4cb7d80930,828144.0,3908.0,2.0,25769803775.0,11734.936969400214,13972611071.0,139350.958339839,162540.53037934087,11210379.050925002,325413850.0008325
2,2,0.9,4373060,8998,0.1,1,90.0,2.235,a28ec6b9-5888-484f-b84c-035d22780709,828144.0,5174.0,-1.0,-1.0,14223.74340299598,13974519807.0,171084.15417781734,250994.49784526494,13997644.78949982,958601103.5099701
3,3,0.9,4374716,8998,0.1,1,90.0,2.235,c203a726-267d-40fb-8471-52f2137e48ec,828144.0,7391.0,3.0,25769803776.0,15796.531187031935,13974523904.0,6192.090181992337,5847.515589272031,811736.0424839079,2152059.9244971266
4,4,0.9,4376600,8998,0.1,1,75.0,2.235,9cb77e77-976e-4c72-8e59-362539b088b8,828144.0,7422.0,3.0,25769803776.0,15861.448820758902,13974523904.0,6235.687776894338,5887.368924506985,817373.7285114898,2166794.9176862473
5,5,0.9,4375944,8998,0.1,1,105.0,2.235,057619f4-ee45-419e-bde4-1cd114205294,828144.0,7425.0,3.0,25769803776.0,15864.180989163688,13974523904.0,6236.170169709903,5888.582288809113,817643.946013684,2167226.359004521
6,6,0.9,4373032,8998,0.1,1,90.0,2.235,9069ecf1-22ff-45fb-868c-967924e69ad3,828144.0,4716.0,3.0,25769803776.0,14054.093691821934,13967618048.0,28097.471294552925,141985.69583847633,3223240.472734227,952363322.462151
7,7,0.9,4373200,8998,0.1,1,75.0,2.235,59f140fa-0ab6-4f41-8507-ccbdaeb9d5c0,828144.0,4920.0,3.0,25769803776.0,14510.24445591362,13968076800.0,12741.520275590738,50128.7587967544,1426716.4586130972,270156238.99866354
8,8,0.9,4372956,8998,0.1,1,105.0,2.235,8ea09487-ec24-4eb8-ac43-e65a75b98fc0,828144.0,7437.0,3.0,25769803776.0,14705.006847366025,13968195584.0,14827.559488448744,61573.149871901885,2022921.8308993794,349554914.16126394
9,9,0.9,4373256,8998,0.1,1,75.0,2.235,6eafa5e8-7645-48c3-a8f8-34973d6270a4,828144.0,6723.0,3.0,25769803776.0,14690.098439010042,13951033344.0,11483.823799114238,10545.80026973024,79315710.33641966,3512808.675696384
10,10,0.9,4373152,8998,0.1,1,105.0,2.235,443ddbdc-0e34-4793-9271-d6e5a39c5d4f,828144.0,4759.0,3.0,25769803776.0,11913.22731998196,13950164992.0,7099.068121119592,5688.406808142494,886429.6232315521,2109518.3484687023
11,11,0.9,4373052,8998,0.1,1,90.0,2.235,26a091ea-a83d-41ae-a33d-7f1746ed1185,828144.0,5527.0,3.0,25769803776.0,13519.863627740786,13950844928.0,10854.500807901804,10052.684100824703,79237291.04437813,3328498.997452474
12,12,0.9,4372996,8998,0.1,1,90.0,2.235,b8594a76-a366-48be-92c5-3dbe0d6cf625,828144.0,4803.0,0.0,0.0,14328.85078478043,13977366528.0,16098.077338574423,100151.95807337527,2125170.975855765,916081653.7581742
13,13,0.9,4373004,8998,0.1,1,105.0,2.235,0bb774c3-48b8-437f-96c3-63074c62d650,828144.0,9135.0,3.0,25769803776.0,23083.469292068272,13983551488.0,12737.281377795882,36704.7131813406,1718795.7448521117,397409827.60315186
14,14,0.9,4373184,8998,0.1,1,75.0,2.235,361d4a68-ef7c-4650-842e-b7855a4b8259,828144.0,9263.0,3.0,25769803776.0,23229.73388343595,13983559680.0,12762.76749911264,36670.94652280839,1721461.1485191141,396591267.6577898
15,15,0.9,4373080,8998,0.1,1,75.0,2.235,1ea9e5ef-97a0-412e-8e45-54c7f72c8aaa,828144.0,4893.0,0.0,0.0,14454.903901668114,13972426752.0,27132.262560981362,118388.32482526866,2983419.1976575647,638514396.5908256
