,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_request,mem_request,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
0,0.3,9264512,23361,0.1,1,90.0,5.0,b822f88e-012b-470b-9222-a2693a3a93ad,2543220.0,41802.0,1.0,17179869183.0,125510.96077053882,49055113215.0,72626.74415577724,133507.75884710086,822335704.0116943,609990001.8058821
1,0.3,9267852,23361,0.1,1,90.0,3.0,7dc27503-2b72-4135-899a-5cb251495478,2543220.0,51325.0,1.0,17179869183.0,135062.25122627377,49055113215.0,75663.04868248849,136704.35542538966,892807475.3373692,610788702.5537494
2,0.3,2553376,16486,0.1,1,90.0,5.0,5d8d7ec0-6f66-4e3d-9c30-2a524f6f34dd,1053216.0,7920.0,1.0,17179869183.0,15870.320061996737,6116626431.0,38019.13152902408,102818.02600570342,126239876.30029885,568738608.0337793
3,0.3,2574432,16486,0.1,1,90.0,3.0,5182fa7b-a65b-4e24-9145-87fcc074287c,1053216.0,9690.0,1.0,17179869183.0,17662.227049828383,6116626431.0,40030.074724976475,104953.85966190475,138364235.28810585,568981235.6322346
4,0.3,2559860,16486,0.1,1,90.0,3.0,98519bcb-88a2-4452-95e8-a65324625b2b,1053216.0,12752.0,1.0,17179869183.0,12786.817507990207,2911133696.0,10607.621383647798,16097.507116664476,66074597.27672956,106202949.20545828
5,0.3,2559684,16486,0.1,1,90.0,5.0,8c6bf4b3-74f5-4391-b9e1-b0502fdcb9e2,1053216.0,6435.0,-1.0,-1.0,8303.618566373843,6089900031.0,82999.22538714505,115309.19408641025,85579075.31280437,477692869.1026609
6,0.3,9274576,23361,0.1,1,90.0,5.0,79432d65-4045-41b8-a83d-f75ca6f875f4,2543220.0,36585.0,-1.0,-1.0,146525.5681663428,41276190719.0,53938.282814792066,72468.15517948574,869403940.2601472,200080633.83710808
7,0.3,9272960,23361,0.1,1,90.0,3.0,abc3b8ea-33af-41a7-bd54-c0ac51516de1,2543220.0,38531.0,-1.0,-1.0,150424.81220741535,41279987711.0,88274.79007245353,175149.19511156634,894652953.646204,802646620.1475596
8,0.3,9262072,23361,0.1,1,90.0,3.0,a1373665-d570-4f00-804d-34e556211e30,2543220.0,43185.0,-1.0,-1.0,133654.10072137584,50913431551.0,103610.04739549845,255080.61431467015,818784186.8959075,1592613599.8411279
9,0.3,9262736,23361,0.1,1,90.0,5.0,d499a1bd-fa01-403f-957e-6b8b7a73ab5b,2543220.0,56301.0,1.0,17179869183.0,132263.68725543862,50075570175.0,48264.516717684724,82374.59424236664,529278836.16275984,604505906.2989547
