,canopy_moisture,stop,run_max_mem_rss_bytes,start,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime
0,0.9,2024-05-01T04:05:43.464402-07:00,4403716.0,2024-05-01 01:46:46.453119-07:00,8998.0,0.1,1.0,75.0,2.235,9ca8a3b0-62d5-484f-99a2-0ad384b2ae7f,828144.0,8337.0
1,0.9,2024-05-16T21:45:45.812127-07:00,4376600.0,2024-05-16 19:42:03.059607-07:00,8998.0,0.1,1.0,75.0,2.235,9cb77e77-976e-4c72-8e59-362539b088b8,828144.0,7422.0
2,1.0,2024-05-16T09:17:32.605130-07:00,2867564.0,2024-05-16 08:44:16.013269-07:00,4591.0,0.25,1.0,285.0,6.705,9df47930-67c8-4e15-b1ac-1c570c5320ab,986740.0,1996.0
3,0.9,2024-05-16T09:15:57.011344-07:00,4407136.0,2024-05-16 07:47:19.218660-07:00,8998.0,0.1,1.0,105.0,2.235,9e68c826-8735-4464-8631-96f450dc358b,828144.0,5318.0
4,0.8,2024-05-13T18:01:06.803839-07:00,3189880.0,2024-05-13 15:51:55.861884-07:00,5579.0,0.05,1.0,210.0,6.705,a00b5176-6c40-42f4-b675-d59b53ee4938,823768.0,7751.0
5,0.9,2024-05-16T09:35:59.222324-07:00,2866100.0,2024-05-16 08:58:49.598525-07:00,4591.0,0.15,1.0,255.0,6.705,a0358a7b-b5e8-4cd9-9865-a95dd8ceee5d,986740.0,2230.0
6,1.0,2024-05-16T09:34:36.997807-07:00,2865028.0,2024-05-16 08:46:00.351705-07:00,4591.0,0.15,1.0,270.0,2.235,a0ec5d39-9837-41a2-b972-f47a4606931c,986740.0,2916.0
7,1.0,2024-05-16T09:27:25.267436-07:00,2866076.0,2024-05-16 08:53:37.266611-07:00,4591.0,0.2,1.0,270.0,6.705,a28efd1a-760d-45e4-88ea-0e87e0695688,986740.0,2028.0
8,1.0,2024-05-16T09:27:28.058981-07:00,2870124.0,2024-05-16 08:49:55.961530-07:00,4591.0,0.15,1.0,270.0,6.705,a298daff-d228-4ff7-a80b-bda1a3a35ecd,986740.0,2253.0
9,0.9,2024-05-16T09:50:29.817767-07:00,2866168.0,2024-05-16 09:13:36.828101-07:00,4591.0,0.1,1.0,285.0,6.705,a98addce-fff7-413e-98aa-a1bee215e208,986740.0,2213.0
10,1.0,2024-05-16T09:30:36.682218-07:00,2865780.0,2024-05-16 08:46:20.217255-07:00,4591.0,0.2,1.0,270.0,2.235,aa0d5aef-5176-4b2c-97be-6e1b1b52fd34,986740.0,2656.0
11,0.9,2024-05-15T08:46:00.351272-07:00,2868028.0,2024-05-15 07:34:54.801731-07:00,4457.0,0.15,1.0,270.0,6.705,ab1f6326-3f62-471d-bf81-99164a183827,986740.0,4266.0
12,0.8,2024-05-13T16:35:55.282624-07:00,3189980.0,2024-05-13 15:28:02.010404-07:00,5579.0,0.1,1.0,195.0,6.705,ab3cd19c-a5d7-4fdd-87cf-b53e1b357da9,823768.0,4073.0
13,0.9,2024-05-16T21:00:30.813395-07:00,4407244.0,2024-05-16 18:57:25.928106-07:00,8998.0,0.1,1.0,90.0,2.235,ac007084-d6b0-4bf8-bff4-bdedc66a3316,828144.0,7385.0
14,0.9,2024-05-16T09:49:47.409409-07:00,2865896.0,2024-05-16 09:15:29.961128-07:00,4591.0,0.25,1.0,285.0,4.47,ae351fe7-b951-4aea-a9c3-ae8bdabb550a,986740.0,2058.0
15,0.9,2024-05-16T09:32:15.997727-07:00,2867904.0,2024-05-16 08:58:05.520290-07:00,4591.0,0.2,1.0,285.0,4.47,af3aa6ad-7dad-4443-82a8-7a4e15edc6e8,986740.0,2050.0
16,1.0,2024-05-16T09:40:50.602310-07:00,2866176.0,2024-05-16 09:01:23.761696-07:00,4591.0,0.15,1.0,255.0,6.705,afe43624-8683-400f-aff9-68ac7d83b6cd,986740.0,2367.0
17,1.0,2024-05-16T09:23:17.603490-07:00,2866032.0,2024-05-16 08:45:27.161356-07:00,4591.0,0.1,1.0,270.0,2.235,b05baf2f-7923-48e6-a939-140ab69b7481,986740.0,2270.0
18,1.0,2024-05-16T09:52:54.549792-07:00,2867828.0,2024-05-16 09:15:52.800822-07:00,4591.0,0.15,1.0,285.0,6.705,b1511efc-6082-40e5-b5a0-3ee0686e311a,986740.0,2222.0
19,0.9,2024-05-16T09:37:18.259253-07:00,2866032.0,2024-05-16 08:59:12.490942-07:00,4591.0,0.15,1.0,285.0,2.235,b2735a75-6626-4f67-b290-8d7d96b44fda,986740.0,2286.0
20,0.9,2024-05-15T11:44:36.783199-07:00,4403700.0,2024-05-15 09:57:09.687597-07:00,8998.0,0.1,1.0,105.0,2.235,b4a6e6ac-4033-4281-a616-13c3e70985f4,828144.0,6447.0
21,0.9,2024-05-16T09:23:07.034806-07:00,2865924.0,2024-05-16 08:45:06.752926-07:00,4591.0,0.2,1.0,270.0,2.235,b8d748be-6cab-4bbd-aa62-479ceb8550a2,986740.0,2281.0
22,0.9,2024-05-16T09:29:22.422785-07:00,2867648.0,2024-05-16 08:52:55.124829-07:00,4591.0,0.15,1.0,255.0,2.235,ba466192-2582-4f8c-ac57-9422fce2d4d8,986740.0,2187.0
23,0.9,2024-05-13T13:08:42.716074-07:00,3190020.0,2024-05-13 11:46:58.269371-07:00,6883.0,0.1,1.0,205.0,6.705,ba4c4581-d70d-4a02-86bd-2e379d1a59af,823768.0,4904.0
24,0.9,2024-05-16T09:45:23.897863-07:00,2866000.0,2024-05-16 08:57:43.703016-07:00,4591.0,0.2,1.0,255.0,6.705,bae8d957-36a4-45c2-a3a7-592f348384ea,986740.0,2860.0
25,1.0,2024-05-16T10:06:53.990410-07:00,2866328.0,2024-05-16 09:10:02.419916-07:00,4591.0,0.1,1.0,255.0,6.705,beb0a2c4-d598-4c61-b2b3-244b620b03c9,986740.0,3411.0
26,0.9,2024-05-16T09:48:57.863332-07:00,2866084.0,2024-05-16 08:55:00.421323-07:00,4591.0,0.1,1.0,255.0,4.47,c1acce07-a982-4192-8688-7c42ed656955,986740.0,3237.0
27,0.9,2024-05-17T08:52:07.829944-07:00,4403664.0,2024-05-17 07:33:58.863223-07:00,8998.0,0.1,1.0,90.0,2.235,c1cfc886-3243-4795-a201-bf8611d45a89,828144.0,4689.0
28,0.9,2024-05-16T21:45:11.987523-07:00,4374716.0,2024-05-16 19:42:00.943994-07:00,8998.0,0.1,1.0,90.0,2.235,c203a726-267d-40fb-8471-52f2137e48ec,828144.0,7391.0
29,0.9,2024-05-03T09:57:15.763120-07:00,4403620.0,2024-05-03 07:57:33.574507-07:00,8998.0,0.1,1.0,90.0,2.235,c2a3c427-f610-45c4-a8ce-65f2862a084c,828144.0,7182.0
30,0.9,2024-05-16T09:28:14.549906-07:00,2865852.0,2024-05-16 08:55:23.804994-07:00,4591.0,0.25,1.0,255.0,4.47,c37e87aa-96e0-46e7-9705-1da7f6663b7b,986740.0,1971.0
31,0.7,2024-05-13T16:40:43.871992-07:00,3190108.0,2024-05-13 15:49:47.593372-07:00,5579.0,0.05,1.0,210.0,6.705,c400dd6e-0e72-4b17-9487-4a7f6484fd5e,823768.0,3056.0
32,0.9,2024-05-16T11:32:37.092308-07:00,4403656.0,2024-05-16 09:39:45.056024-07:00,8998.0,0.1,1.0,90.0,2.235,c973b429-9663-4262-8f9f-9de9492d001e,828144.0,6772.0
33,0.9,2024-05-13T11:08:44.452418-07:00,3194800.0,2024-05-13 09:54:41.043218-07:00,4924.0,0.1,1.0,195.0,2.235,c9fab112-fce5-4c42-a281-4603647ff655,823768.0,4443.0
34,0.9,2024-05-16T09:35:50.618607-07:00,2867740.0,2024-05-16 08:57:01.652324-07:00,4591.0,0.1,1.0,255.0,6.705,ca44b944-01be-4bef-a25b-55a3ea58e868,986740.0,2329.0
35,0.9,2024-05-15T23:55:55.097724-07:00,4403588.0,2024-05-15 22:34:49.812836-07:00,8998.0,0.1,1.0,90.0,2.235,d17059eb-c99d-496b-a229-bad0221f0436,828144.0,4866.0
36,0.9,2024-05-01T15:00:22.111421-07:00,4403652.0,2024-05-01 13:10:04.754139-07:00,8998.0,0.1,1.0,75.0,2.235,d2f63250-2f8e-455a-b197-3c9a1cba692b,828144.0,6618.0
37,0.7,2024-05-13T17:03:53.030516-07:00,3190128.0,2024-05-13 15:50:33.832351-07:00,5579.0,0.05,1.0,210.0,8.941,d3f62f61-85bb-43bc-96f4-8a352693eb44,823768.0,4400.0
38,0.9,2024-05-13T13:30:58.294987-07:00,3189968.0,2024-05-13 11:47:54.312262-07:00,6883.0,0.1,1.0,220.0,6.705,d5bc882a-668c-44bd-b119-230601a87c2d,823768.0,6184.0
39,0.8,2024-05-13T17:36:13.448115-07:00,3189788.0,2024-05-13 15:28:50.538391-07:00,5579.0,0.1,1.0,180.0,8.941,d6be82e4-c1a1-446e-943e-d8c838c26f18,823768.0,7643.0
