,ensemble_uuid,run_uuid,s3_path,ens_status,run_status
0,7f17da2d-1570-408a-92c9-6627224f6d53,883966ce-ba84-4dfd-ac6c-b38a3f0bc52c,burnpro3d/d/88/39/run_883966ce-ba84-4dfd-ac6c-b38a3f0bc52c,Done,Done
1,7f17da2d-1570-408a-92c9-6627224f6d53,f9e5fe89-7b72-4bd5-8e76-b4ecab807f52,burnpro3d/d/f9/e5/run_f9e5fe89-7b72-4bd5-8e76-b4ecab807f52,Done,Done
2,7f17da2d-1570-408a-92c9-6627224f6d53,ff50256d-8fd9-438b-a322-e4aad6e37204,burnpro3d/d/ff/50/run_ff50256d-8fd9-438b-a322-e4aad6e37204,Done,Done
3,ea5b0a15-a0a4-43d0-9acc-916530618322,70e2d0fd-9ffe-4a29-92be-e34fea4c4de8,burnpro3d/d/70/e2/run_70e2d0fd-9ffe-4a29-92be-e34fea4c4de8,Done,Done
4,ea5b0a15-a0a4-43d0-9acc-916530618322,1a31d7ee-14c6-4729-ab3e-0b45dba16e31,burnpro3d/d/1a/31/run_1a31d7ee-14c6-4729-ab3e-0b45dba16e31,Done,Done
5,ea5b0a15-a0a4-43d0-9acc-916530618322,33c3d36e-c9c9-4659-adde-3829d31bb334,burnpro3d/d/33/c3/run_33c3d36e-c9c9-4659-adde-3829d31bb334,Done,Done
6,ea5b0a15-a0a4-43d0-9acc-916530618322,765bd5fd-777a-4ff5-86b9-1726f10f111e,burnpro3d/d/76/5b/run_765bd5fd-777a-4ff5-86b9-1726f10f111e,Done,Done
7,ea5b0a15-a0a4-43d0-9acc-916530618322,0dc197ce-7fe3-4761-a086-78f636e49694,burnpro3d/d/0d/c1/run_0dc197ce-7fe3-4761-a086-78f636e49694,Done,Done
8,ea5b0a15-a0a4-43d0-9acc-916530618322,e0f14f4e-3882-427d-9455-4434045a9bcf,burnpro3d/d/e0/f1/run_e0f14f4e-3882-427d-9455-4434045a9bcf,Done,Done
9,ea5b0a15-a0a4-43d0-9acc-916530618322,7f0efa83-8850-4255-aa31-cc3e3825006b,burnpro3d/d/7f/0e/run_7f0efa83-8850-4255-aa31-cc3e3825006b,Done,Done
10,ea5b0a15-a0a4-43d0-9acc-916530618322,eb3e8431-f99d-4426-a95b-09615b517196,burnpro3d/d/eb/3e/run_eb3e8431-f99d-4426-a95b-09615b517196,Done,Done
11,ea5b0a15-a0a4-43d0-9acc-916530618322,5cb3a28e-b88f-49c7-bdc3-e0adc3e2e9d1,burnpro3d/d/5c/b3/run_5cb3a28e-b88f-49c7-bdc3-e0adc3e2e9d1,Done,Done
12,ea5b0a15-a0a4-43d0-9acc-916530618322,e3df242b-4857-4443-bc06-22edd7cac36b,burnpro3d/d/e3/df/run_e3df242b-4857-4443-bc06-22edd7cac36b,Done,Done
13,ea5b0a15-a0a4-43d0-9acc-916530618322,8952a99f-c753-46a3-b473-b79186b93612,burnpro3d/d/89/52/run_8952a99f-c753-46a3-b473-b79186b93612,Done,Done
14,ea5b0a15-a0a4-43d0-9acc-916530618322,c6166524-b1eb-4964-9edd-aefb100e460d,burnpro3d/d/c6/16/run_c6166524-b1eb-4964-9edd-aefb100e460d,Done,Done
