,path,start,stop,sim_time,timestep,wind_direction,wind_speed,canopy_moisture,surface_moisture,run_max_mem_rss_bytes,threads,area,runtime,cpu_total,mem_total,duration_t1,cpu_t1,mem_t1,duration_t2,cpu_t2,mem_t2,ensemble_uuid,run_uuid
240,burnpro3d/d/d0/b1/run_d0b174ef-aee1-43bf-93ae-6613ff3c8185,2023-10-13T11:35:12.755605-07:00,2023-10-13T11:47:52.810072-07:00,7680,600,60.0,2.235,1.0,0.15,402492,1,294840.0,760.0,,,180.0,,,233.0,,,b881b40b-d1ea-4497-83ea-e6a6cdb326a9,d0b174ef-aee1-43bf-93ae-6613ff3c8185
241,burnpro3d/d/c5/2b/run_c52b5b54-e3fb-4d9b-ae45-1a2e497bd273,2023-10-13T11:35:54.531253-07:00,2023-10-13T11:51:57.137861-07:00,7680,600,90.0,6.705,0.9,0.15,402172,1,294840.0,963.0,,,428.0,,,108.0,,,b881b40b-d1ea-4497-83ea-e6a6cdb326a9,c52b5b54-e3fb-4d9b-ae45-1a2e497bd273
242,burnpro3d/d/ef/09/run_ef098886-cab7-4ab1-9199-f293cd102c95,2023-10-13T11:35:17.667314-07:00,2023-10-13T11:47:40.101406-07:00,7680,600,90.0,2.235,0.9,0.25,402348,1,294840.0,743.0,,,140.0,,,259.0,,,b881b40b-d1ea-4497-83ea-e6a6cdb326a9,ef098886-cab7-4ab1-9199-f293cd102c95
243,burnpro3d/d/7a/17/run_7a17b26c-6e32-4244-8890-d2cb0b472b73,2023-10-13T11:34:54.053384-07:00,2023-10-13T11:43:30.802057-07:00,7680,600,120.0,2.235,0.9,0.15,402392,1,294840.0,516.0,,,230.0,,,252.0,,,b881b40b-d1ea-4497-83ea-e6a6cdb326a9,7a17b26c-6e32-4244-8890-d2cb0b472b73
244,burnpro3d/d/d4/3a/run_d43a5972-2cf7-4396-b00f-d55f714ce507,2023-10-13T11:35:55.131767-07:00,2023-10-13T11:52:11.457897-07:00,7680,600,60.0,4.47,1.0,0.25,402224,1,294840.0,976.0,,,148.0,,,207.0,,,b881b40b-d1ea-4497-83ea-e6a6cdb326a9,d43a5972-2cf7-4396-b00f-d55f714ce507
245,burnpro3d/d/75/5c/run_755cc75b-7291-419e-8507-cf53a4062e8a,2023-10-13T11:35:21.895162-07:00,2023-10-13T11:47:42.395085-07:00,7680,600,60.0,6.705,0.9,0.1,402364,1,294840.0,741.0,,,260.0,,,208.0,,,b881b40b-d1ea-4497-83ea-e6a6cdb326a9,755cc75b-7291-419e-8507-cf53a4062e8a
246,burnpro3d/d/fb/77/run_fb779bc2-6d05-4506-a790-85938c489184,2023-10-13T11:35:20.305017-07:00,2023-10-13T11:47:42.075829-07:00,7680,600,60.0,4.47,1.0,0.2,402412,1,294840.0,742.0,,,134.0,,,239.0,,,b881b40b-d1ea-4497-83ea-e6a6cdb326a9,fb779bc2-6d05-4506-a790-85938c489184
247,burnpro3d/d/c4/42/run_c44272fd-07e4-4d1c-9697-1eea3535cf35,2023-10-13T11:35:14.369202-07:00,2023-10-13T11:43:47.430866-07:00,7680,600,90.0,6.705,1.0,0.2,402372,1,294840.0,513.0,,,248.0,,,168.0,,,b881b40b-d1ea-4497-83ea-e6a6cdb326a9,c44272fd-07e4-4d1c-9697-1eea3535cf35
248,burnpro3d/d/67/dc/run_67dc89ae-ff57-4ead-9b07-603dda03398c,2023-10-13T11:35:17.165620-07:00,2023-10-13T11:47:46.313775-07:00,7680,600,90.0,2.235,0.9,0.15,402420,1,294840.0,749.0,,,224.0,,,99.0,,,b881b40b-d1ea-4497-83ea-e6a6cdb326a9,67dc89ae-ff57-4ead-9b07-603dda03398c
249,burnpro3d/d/a5/45/run_a5459f6d-72af-40bb-b3e6-55bb1a60e316,2023-10-13T11:35:18.553074-07:00,2023-10-13T11:47:46.429295-07:00,7680,600,90.0,6.705,1.0,0.25,402444,1,294840.0,748.0,,,179.0,,,300.0,,,b881b40b-d1ea-4497-83ea-e6a6cdb326a9,a5459f6d-72af-40bb-b3e6-55bb1a60e316
