,path,time_scraped,canopy_moisture,dz,extent,extent_fmt,fire_grid,output,resolution,resolution_units,run_binary,stop,run_max_mem_rss_bytes,start,seed,sim_time,surface_moisture,threads,timestep,topo,wind_direction,wind_speed
0,burnpro3d/d/88/39/run_883966ce-ba84-4dfd-ac6c-b38a3f0bc52c,2023-12-26T00:30:38.559821,0.9,,"[-1959092.0, 1310426.0, -1958552.0, 1309880.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-14T10:21:23.901140-07:00,401160,2023-06-14T10:15:55.918969-07:00,-1,4005,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,2.235
1,burnpro3d/d/f9/e5/run_f9e5fe89-7b72-4bd5-8e76-b4ecab807f52,2023-12-26T00:30:38.559821,0.9,,"[-1959092.0, 1310426.0, -1958552.0, 1309880.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-14T10:29:39.092975-07:00,401184,2023-06-14T10:20:47.772654-07:00,-1,4005,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,2.235
2,burnpro3d/d/ff/50/run_ff50256d-8fd9-438b-a322-e4aad6e37204,2023-12-26T00:30:38.559821,0.9,,"[-1959092.0, 1310426.0, -1958552.0, 1309880.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-14T10:29:42.945253-07:00,401132,2023-06-14T10:20:56.196752-07:00,-1,4005,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,2.235
3,burnpro3d/d/70/e2/run_70e2d0fd-9ffe-4a29-92be-e34fea4c4de8,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T16:34:06.894350-07:00,2428216,2023-06-23T14:18:18.583415-07:00,-1,13493,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,6.705
4,burnpro3d/d/1a/31/run_1a31d7ee-14c6-4729-ab3e-0b45dba16e31,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T17:19:06.935054-07:00,2428036,2023-06-23T14:18:15.973481-07:00,-1,13493,0.15,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,4.47
5,burnpro3d/d/33/c3/run_33c3d36e-c9c9-4659-adde-3829d31bb334,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T16:39:48.768782-07:00,2428016,2023-06-23T14:17:31.321512-07:00,-1,13493,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,6.705
6,burnpro3d/d/76/5b/run_765bd5fd-777a-4ff5-86b9-1726f10f111e,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T18:15:36.205524-07:00,2428416,2023-06-23T14:18:18.964604-07:00,-1,13493,0.15,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,6.705
7,burnpro3d/d/0d/c1/run_0dc197ce-7fe3-4761-a086-78f636e49694,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T18:06:58.196491-07:00,2428284,2023-06-23T14:18:40.544208-07:00,-1,13493,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,4.47
8,burnpro3d/d/e0/f1/run_e0f14f4e-3882-427d-9455-4434045a9bcf,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T16:52:15.438794-07:00,2428028,2023-06-23T14:18:21.046389-07:00,-1,13493,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,6.705
9,burnpro3d/d/7f/0e/run_7f0efa83-8850-4255-aa31-cc3e3825006b,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T19:16:24.737250-07:00,2426080,2023-06-23T14:18:21.679041-07:00,-1,13493,0.15,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,2.235
