,runtime,sim_time,surface_moisture,timestep,wind_direction,wind_speed,canopy_moisture,run_max_mem_rss_bytes,area,steps_fire
0,5475,4503,0.1,600,65.0,2.235,1.0,1934680,560976.0,600
1,9737,11382,0.05,600,90.0,4.47,0.9,2470180,1981888.0,600
2,501,3937,0.12,600,270.0,2.235,0.95,517424,359488.0,600
3,4325,4921,0.1,600,137.0,3.0,1.1,2454040,1053216.0,600
4,9008,14997,0.15,600,360.0,4.47,1.0,3919432,648024.0,600
5,20920,27251,0.25,600,90.0,2.235,0.9,3917792,648024.0,600
6,10910,16374,0.05,600,270.0,2.235,1.0,2427368,1981888.0,600
7,123,5983,0.15,600,180.0,4.47,0.9,2275800,648024.0,600
8,3057,5945,0.1,600,120.0,6.705,1.0,1337436,646416.0,600
9,20212,8543,0.09,600,195.0,3.129,0.9,4232996,648024.0,600
10,19934,6705,0.1,600,90.0,1.341,0.9,4245740,648024.0,600
11,2684,4225,0.3,600,120.0,15.0,0.5,2659032,820864.0,600
12,23708,8543,0.07,600,195.0,6.705,0.9,4232916,648024.0,600
13,2625,4225,0.1,600,180.0,20.0,0.3,2659828,820864.0,600
14,1727,4225,0.3,600,120.0,5.0,0.3,2658900,820864.0,600
15,3446,5918,0.1,600,60.0,2.235,1.0,2461544,646416.0,600
16,2250,19838,0.2,600,60.0,6.705,0.9,452076,294840.0,600
17,4081,3824,0.05,600,15.0,4.47,1.0,1938784,560976.0,600
18,4442,3824,0.05,600,75.0,4.47,1.0,1938596,560976.0,600
19,20272,6640,0.15,600,60.0,2.235,1.2,4229724,648024.0,600
20,14131,11359,0.05,600,180.0,2.235,1.0,2470848,1981888.0,600
21,1464,11719,0.15,600,60.0,4.47,0.9,451720,294840.0,600
22,4186,4225,0.1,600,90.0,15.0,0.4,2659060,820864.0,600
23,10477,11359,0.1,600,150.0,3.129,0.8,2470240,1981888.0,600
24,750,5223,0.15,600,90.0,4.47,0.9,452140,294840.0,600
25,17446,8543,0.11,600,225.0,3.129,0.9,4231776,648024.0,600
26,10847,13493,0.1,600,60.0,4.47,0.9,2428228,1981888.0,600
27,19426,8543,0.07,600,255.0,6.705,0.9,4232372,648024.0,600
28,12541,11382,0.05,600,120.0,4.47,0.9,2470180,1981888.0,600
29,3046,5918,0.25,600,90.0,4.47,0.9,2461984,646416.0,600
30,3285,5918,0.2,600,90.0,2.235,0.9,2461768,646416.0,600
31,2474,5945,0.15,600,90.0,2.235,0.9,1336984,646416.0,600
32,3318,5918,0.1,600,60.0,2.235,0.9,2449560,646416.0,600
33,9782,27251,0.2,600,120.0,4.47,1.0,3919392,648024.0,600
34,656,5223,0.1,600,60.0,4.47,0.9,452028,294840.0,600
35,2760,19838,0.25,600,60.0,2.235,0.9,452020,294840.0,600
36,838,3937,0.07,600,300.0,4.47,0.95,517480,359488.0,600
37,456,4235,0.12,600,240.0,2.235,1.0,517044,359488.0,600
38,2455,6748,0.1,600,120.0,3.576,0.9,1338992,646416.0,600
39,889,4228,0.07,600,270.0,4.47,1.0,516752,359488.0,600
40,1074,5295,0.07,600,200.0,1.341,1.2,646732,538244.0,600
41,10369,11359,0.1,600,150.0,2.235,1.0,2468564,1981888.0,600
42,2279,5918,0.15,600,60.0,6.705,1.0,2461908,646416.0,600
43,590,4157,0.12,600,10.0,2.0,1.0,436472,294840.0,600
44,10956,16374,0.09,600,270.0,6.705,1.0,2427368,1981888.0,600
45,720,5223,0.2,600,90.0,4.47,0.9,451920,294840.0,600
46,3541,5945,0.2,600,120.0,2.235,0.9,1337008,646416.0,600
47,16622,10603,0.07,600,180.0,2.682,0.9,2466308,1981888.0,600
48,545,4228,0.07,600,300.0,4.47,1.0,516456,359488.0,600
49,3338,4225,0.1,600,60.0,20.0,0.3,2659664,820864.0,600
50,7980,6906,0.15,600,240.0,4.47,1.1,2565372,820080.0,600
51,10512,11359,0.07,600,180.0,3.129,1.0,2468600,1981888.0,600
52,376,4228,0.07,600,270.0,6.705,1.1,516636,359488.0,600
53,694,4005,0.09,600,90.0,2.235,0.0,452008,294840.0,600
54,14330,7313,0.15,600,300.0,6.705,1.1,2551920,820080.0,600
55,3372,5460,0.1,600,60.0,2.235,0.9,1336912,646416.0,600
56,2178,5945,0.15,600,60.0,2.235,1.0,1336892,646416.0,600
57,11217,7313,0.2,600,300.0,6.705,0.9,2551760,820080.0,600
58,11517,11359,0.1,600,210.0,4.023,1.0,2468696,1981888.0,600
59,3388,5918,0.1,600,120.0,6.705,0.9,2450140,646416.0,600
60,1688,5663,0.1,600,345.0,5.364,1.2,1629996,437720.0,600
61,2469,4225,0.2,600,120.0,5.0,0.3,2659520,820864.0,600
